geoid,county,rural,black,income,collegewhite,nodiploma,highschoolgrad,collegedegree,homeprice,whitecollar,early_late,privateschool,moved
1400000US37135010802,Orange,Rural,2.6,1529,4.45,-5.34238275,1.716550569,5.039724741,22300,-0.7,-13.78925843,0.469217321,-14.25847575
1400000US37135010901,Orange,Rural,-1.26,-6702,5.85,5.57178116,-15.50659308,6.346469112,43600,6.7,-12.31581336,4.778849177,-17.09466253
1400000US37135010902,Orange,Rural,0.45,7717,3.53,2.017115704,-9.280329405,17.06784788,34500,-4.6,-9.185870125,-0.53062114,-8.655248986
1400000US37135011000,Orange,Rural,-8.9,4958,7.37,-8.099910391,-0.898982931,11.52118561,63100,11.3,-19.7394306,-0.657773907,-19.08165669
1400000US37135011101,Orange,Rural,-0.72,6977,3.01,-3.166238126,-6.391895085,2.370677695,21300,-2.3,-10.34508802,0.582932824,-10.92802085
1400000US37135011102,Orange,Rural,-0.56,15650,5.27,-8.601845989,0.899554531,12.01144724,6100,18.1,-11.14420831,-1.185317031,-9.95889128
1400000US37135011202,Orange,Rural,2.75,13437,2.56,-1.859209086,-2.824009765,-5.658751263,43000,1.7,-19.88522995,1.233794036,-21.11902398
1400000US37135011203,Orange,Rural,-2.77,5750,-3.9,-1.984324407,7.337835562,-28.43025259,-22300,-3.7,-14.23387831,-1.52142276,-12.71245555
1400000US37135011204,Orange,Rural,3.33,12930,-4.01,-2.981927887,4.363290566,24.60432541,62200,-1.8,-22.13296626,2.056157747,-24.189124
1400000US37135011205,Orange,Rural,3.45,15844,4.84,-7.776542914,0.609860631,-244.1064227,30700,6.6,-32.06789788,2.099295563,-34.16719344
1400000US37135011300,Orange,Urban,-19.61,-850,-4.04,-1.854935581,-1.166083408,23.02471792,72400,-13.2,-10.50224826,-0.104276573,-10.39797169
1400000US37135011400,Orange,Urban,-4.65,-4089,-8.35,-5.775093659,3.213004613,-26.14871542,-17200,2.3,-17.55914138,-1.0976619,-16.46147948
1400000US37135011500,Orange,Urban,-2.44,55446,9.02,5.650368171,-11.22764677,-2285.63991,232700,0.3,-30.13762291,1.766424378,-31.90404728
1400000US37135011601,Orange,Urban,-1.73,#VALUE!,0,0,-100,100,#VALUE!,-2.3,-8.835144458,0.762501402,-9.597645859
1400000US37135011602,Orange,Urban,-1.46,25893,-3.62,0,-5.881069285,42.90909949,#VALUE!,-2.2,-19.67139419,-1.379862353,-18.29153184
1400000US37135011700,Orange,Urban,4.05,10708,-0.19,-3.866848955,-3.760245474,21.57573357,-13700,7.2,-27.07654989,2.211017548,-29.28756743
1400000US37135011800,Orange,Urban,-1.83,15900,3.67,0.500731663,-9.354612524,44.67441698,36300,-4,-19.71607934,2.064905815,-21.78098516
1400000US37135011901,Orange,Urban,2.01,11678,0.71,2.983749133,6.573353827,-19.78494477,53100,-4.3,-29.72197134,-0.854820478,-28.86715086
1400000US37135011902,Orange,Urban,7.04,-10315,-0.82,1.221505709,0.458225535,35.53234951,54000,-2.3,-25.51760006,-1.482986145,-24.03461391
1400000US37135012100,Orange,Urban,-1.79,8116,-7.2,1.008533047,8.494021473,-111.3211535,-8300,-1.9,-25.04457108,-0.110744001,-24.93382707
1400000US37135012201,Orange,Rural,3.98,-1391,1.68,1.805908698,-0.507265164,23.99912069,86200,-5.3,-20.8152576,-3.689285088,-17.12597252
1400000US37135012202,Orange,Urban,-3.11,36047,12.28,-1.129176937,-9.061338398,-44.33131772,-8900,5.7,-17.11945939,-0.875790899,-16.24366849
1400000US37183050100,Wake,Urban,-10.87,22116,9.23,-6.019744,-6.811547624,19.27130349,-39600,9.2,-26.78681419,0.134500548,-26.92131474
1400000US37183050300,Wake,Urban,-2.43,6253,0.73,-2.962039408,-1.335355672,-56.07971014,49400,1.4,-21.59910764,0.556666739,-22.15577438
1400000US37183050400,Wake,Urban,-19.61,24583,20.7,-2.056903974,-13.00108897,41.02170204,71100,-1.1,-36.54151986,5.087053844,-41.6285737
1400000US37183050500,Wake,Urban,-23.48,8111,10.4,-1.116515187,-10.04513764,-1.604677152,53800,-2.9,-22.91306759,-0.884320347,-22.02874725
1400000US37183050600,Wake,Urban,-13.64,7602,6.12,-9.041420979,-0.931511076,10.94943039,144900,5.2,-27.99571162,-2.174018773,-25.82169285
1400000US37183050700,Wake,Urban,-18.24,14142,6.73,-12.1468771,-2.612588188,18.43852224,71300,-2.5,-3.729029132,1.87937635,-5.608405482
1400000US37183050800,Wake,Urban,4.34,5401,1.64,-29.04110086,25.2624382,1.150860275,72400,29.1,-13.8282907,1.272535743,-15.10082644
1400000US37183050900,Wake,Urban,-18.77,11337,0.66,-11.64647891,11.23197982,3.034030009,120400,-5.5,-19.48321806,3.928107145,-23.41132521
1400000US37183051000,Wake,Urban,-1.99,18007,5.06,-0.364071513,-4.338844075,-13.6796415,39800,4.1,-27.14384095,1.812524537,-28.95636549
1400000US37183051101,Wake,Urban,5.1,13631,-0.11,-4.811956248,22.33252677,-31.17118382,-25900,-12.6,-28.09806716,2.775628433,-30.87369559
1400000US37183051102,Wake,Urban,5.37,8512,1.12,-13.96710578,2.486034905,13.56792124,#VALUE!,-1.5,-28.94803389,3.560341688,-32.50837557
1400000US37183051200,Wake,Urban,0.98,21860,7.28,2.709725316,-8.274384451,23.86169449,43900,5.9,-35.93562311,2.185706745,-38.12132986
1400000US37183051400,Wake,Urban,-2.99,2639,7.22,1.87460815,-7.577657452,-15.00607932,85200,3.4,-37.11579327,-0.378458165,-36.7373351
1400000US37183051501,Wake,Urban,3.63,12477,0.11,-0.147991388,3.721224965,-38.89238103,36000,-0.5,-32.15515939,0.721008206,-32.8761676
1400000US37183051502,Wake,Urban,-2.15,31651,12.43,-4.162666703,-8.153616643,46.45591952,103900,6.9,-21.04982574,1.095563777,-22.14538951
1400000US37183051600,Wake,Urban,-2.23,31508,4.46,-1.851646668,-3.668803318,-50.0709362,76000,1.1,-21.42374786,-4.014357065,-17.40939079
1400000US37183051700,Wake,Urban,0.47,57269,4.84,-0.392396296,-3.177700348,34.51983796,4200,3.7,-26.16260891,2.019754638,-28.18236355
1400000US37183051800,Wake,Urban,-6.5,35733,19.51,-2.448008554,-18.73444145,15.53847994,105100,3.9,-23.69514543,-0.425355246,-23.26979019
1400000US37183051900,Wake,Urban,-8.19,11305,3.28,1.152128573,-3.291252607,-6.649485346,34300,-5.3,-16.67663077,-0.23129803,-16.44533274
1400000US37183052001,Wake,Urban,14.04,4242,0.61,-13.64099731,16.75288982,1.500165434,91800,-3,-8.735002973,2.422881668,-11.15788464
1400000US37183052002,Wake,Urban,-15.93,3601,0.42,3.309501979,-6.00444971,6.695199714,9700,-2.2,-13.68245591,1.778226667,-15.46068258
1400000US37183052101,Wake,Urban,9.15,-5924,0.99,1.561611961,-0.553279033,-7.250447655,9000,13.3,-22.07582312,1.964798612,-24.04062173
1400000US37183052102,Wake,Urban,0.69,4944,0.81,-2.600538104,-2.22913888,-6.197131379,3000,2.2,-16.07456968,-0.774188628,-15.30038105
1400000US37183052301,Wake,Urban,-3.19,5400,0.96,0.296174788,11.95847256,11.91133455,7500,-6.1,-14.43683049,2.023092402,-16.4599229
1400000US37183052302,Wake,Urban,-0.91,24873,3.07,-14.19866462,0.135506419,-20.73721583,9000,0.5,-32.79750036,0.486137874,-33.28363823
1400000US37183052401,Wake,Urban,-15.18,21682,16.33,-0.428107663,-26.10361137,42.29991749,99800,9,-25.51107221,9.626387051,-35.13745926
1400000US37183052404,Wake,Urban,-0.94,13141,0.95,-3.392428293,-1.269153013,15.80254271,19100,6.3,-17.53849724,-0.428025868,-17.11047137
1400000US37183052406,Wake,Urban,-1.94,6035,4.27,4.973522155,-12.78987098,-7.635646347,-8600,-2.7,-17.03781635,2.27542739,-19.31324374
1400000US37183052407,Wake,Urban,-0.88,4488,1.83,4.517418692,-7.142268063,-12.1620653,24100,-1.4,-25.86234151,-1.080740824,-24.78160069
1400000US37183052408,Wake,Urban,-5.27,4650,-3.72,-12.2955249,10.34666942,-8.226693507,-32800,6,-18.98180824,5.107283167,-24.08909141
1400000US37183052409,Wake,Urban,-4.51,12855,3.42,2.490694741,-14.35552344,48.9847247,#VALUE!,2.4,-33.76576292,2.335767495,-36.10153042
1400000US37183052503,Wake,Rural,-5.5,24208,0.08,4.444195954,-4.510878845,-8.67629523,6500,-6.2,-22.57072133,2.103169955,-24.67389129
1400000US37183052504,Wake,Urban,-9.2,18731,0.22,2.06425721,0.185814725,-9.504476068,87400,6.1,-20.35176446,1.495023155,-21.84678761
1400000US37183052505,Wake,Urban,-3.77,-2788,1.71,6.014239853,-3.252925417,-93.24768445,33400,6.9,-22.71649607,-0.064222396,-22.65227368
1400000US37183052506,Wake,Urban,8.48,-1446,-5.06,-1.228150775,-0.793330211,19.62590848,-15000,-8.6,-15.73834651,1.537737299,-17.27608381
